name,email,location,mobile
All industries,Dollars (millions),H01,Total income
All industries,Dollars (millions),H04,"Sales, government funding, grants and subsidies"
All industries,Dollars (millions),H05,"Interest, dividends and donations"
All industries,Dollars (millions),H07,Non-operating income
All industries,Dollars (millions),H08,Total expenditure
All industries,Dollars (millions),H09,Interest and donations
All industries,Dollars (millions),H10,Indirect taxes
All industries,Dollars (millions),H11,Depreciation
All industries,Dollars (millions),H12,Salaries and wages paid
All industries,Dollars (millions),H13,Redundancy and severance
All industries,Dollars (millions),H14,Salaries and wages to self employed commission agents
All industries,Dollars (millions),H19,Purchases and other operating expenses
All industries,Dollars (millions),H20,Non-operating expenses
All industries,Dollars (millions),H21,Opening stocks
All industries,Dollars (millions),H22,Closing stocks
All industries,Dollars (millions),H23,Surplus before income tax
All industries,Dollars (millions),H24,Total assets
All industries,Dollars (millions),H25,Current assets
All industries,Dollars (millions),H26,Fixed tangible assets
All industries,Dollars (millions),H29,Other assets
All industries,Dollars (millions),H30,Total equity and liabilities
All industries,Dollars (millions),H31,Shareholders funds or owners equity
All industries,Dollars (millions),H32,Current liabilities
All industries,Dollars (millions),H33,Other liabilities
All industries,Dollars,H34,Total income per employee count
All industries,Dollars,H35,Surplus per employee count
All industries,Percentage,H36,Current ratio
All industries,Percentage,H37,Quick ratio
All industries,Percentage,H39,Return on equity
All industries,Percentage,H40,Return on total assets
All industries,Percentage,H41,Liabilities structure
"Agriculture, Forestry and Fishing",Dollars (millions),H01,Total income
"Agriculture, Forestry and Fishing",Dollars (millions),H04,Sales of goods and services
"Agriculture, Forestry and Fishing",Dollars (millions),H05,"Interest, dividends and donations"
"Agriculture, Forestry and Fishing",Dollars (millions),H06,"Government funding, grants and subsidies"
"Agriculture, Forestry and Fishing",Dollars (millions),H07,Non-operating income
"Agriculture, Forestry and Fishing",Dollars (millions),H08,Total expenditure
"Agriculture, Forestry and Fishing",Dollars (millions),H09,Interest and donations
"Agriculture, Forestry and Fishing",Dollars (millions),H10,Indirect taxes
"Agriculture, Forestry and Fishing",Dollars (millions),H11,Depreciation
"Agriculture, Forestry and Fishing",Dollars (millions),H12,Salaries and wages paid
"Agriculture, Forestry and Fishing",Dollars (millions),H13,Redundancy and severance
"Agriculture, Forestry and Fishing",Dollars (millions),H19,Purchases and other operating expenses
"Agriculture, Forestry and Fishing",Dollars (millions),H20,Non-operating expenses
"Agriculture, Forestry and Fishing",Dollars (millions),H21,Opening stocks
"Agriculture, Forestry and Fishing",Dollars (millions),H22,Closing stocks
"Agriculture, Forestry and Fishing",Dollars (millions),H23,Surplus before income tax
